id,make,model,year,colour,fuel,vin
74,Nissan,GT-R,2009,Maroon,petrol,3GYFK66N24G474814
75,Cadillac,Fleetwood,1995,Red,petrol,WAUHFAFL7DA010420
76,Acura,RSX,2004,Pink,diesel,1G6AD5S32E0047926
77,Hyundai,Sonata,1998,Yellow,diesel,WBAHN03527D587619
78,Cadillac,Escalade,2000,Khaki,petrol,WAUWMAFC6FN661031
79,Toyota,4Runner,2003,Puce,diesel,WAUDF98E05A007324
80,Dodge,Ram Van 2500,1995,Purple,diesel,3D4PH6FG5BT140438
81,Lexus,GS,1998,Mauv,diesel,WAUWGAFC3FN394356
82,Hyundai,Sonata,2008,Red,diesel,1FTEX1CW3AK175823
83,Mercedes-Benz,SL-Class,1991,Yellow,diesel,1N6AF0KY1FN244173
84,Chrysler,Sebring,1996,Blue,diesel,19UUA8F23CA940332
85,Volkswagen,Tiguan,2011,Violet,diesel,1D7RV1CT5BS981928
86,Toyota,Land Cruiser,1997,Khaki,diesel,WP1AA2A24BL330105
87,Geo,Tracker,1993,Puce,petrol,4T1BB3EK7BU885609
88,Pontiac,6000,1991,Maroon,petrol,WAUAC48H63K316845
89,Kia,Sorento,2006,Violet,diesel,WBANW13519C959689
90,Land Rover,Range Rover,2002,Orange,diesel,2C3CDXGJ1FH134940
91,Infiniti,QX,1997,Khaki,diesel,1N6AA0CA2EN006993
92,Acura,MDX,2009,Mauv,petrol,WAUDT94F85N507327
93,Cadillac,Escalade EXT,2012,Green,petrol,1GYS3KEF4DR598274
94,BMW,M5,2008,Purple,petrol,1C4RJEAG0DC595238
95,GMC,Sierra 1500,2010,Orange,petrol,5TFAW5F13FX222533
96,Chevrolet,Cobalt,2010,Crimson,diesel,1FTSW3B58AE709097
97,Pontiac,Bonneville,1989,Teal,diesel,JM1NC2MF0E0082861
98,BMW,X5,2005,Puce,diesel,5FNYF3H46FB621330
99,Jeep,Wrangler,1992,Mauv,diesel,3LNHL2GC4AR908857
100,Nissan,Sentra,1991,Maroon,petrol,WBAUN7C50DV886894
101,Nissan,240SX,1993,Orange,diesel,JN8AZ1FY3CW145634
102,Chevrolet,Blazer,2005,Goldenrod,diesel,2B3CA2CV0AH695978
103,Chevrolet,Lumina,1997,Purple,petrol,JTEBU5JR1A5852039
104,Ford,GT500,2007,Khaki,diesel,WAUDH78EX8A358745
105,Mercedes-Benz,C-Class,1998,Mauv,diesel,JN8AF5MR6CT249869
106,Hyundai,Santa Fe,2011,Yellow,petrol,WA1BY74L77D006406
107,Aston Martin,Vantage,2009,Yellow,diesel,1FTWX3A51AE374460
108,GMC,Acadia,2012,Pink,petrol,WAUEF78E48A634265
109,Honda,CR-Z,2012,Violet,diesel,5UXFG4C56AL081248
110,Ford,Taurus,1987,Red,petrol,JN1AZ4EH0CM714064
111,Ferrari,430 Scuderia,2009,Mauv,diesel,5GAKVBED7BJ651058
112,Ford,E-Series,2012,Yellow,petrol,WAU4FAFR7DA478439
113,Cadillac,Seville,2003,Indigo,petrol,1C6RD7FP1CS341772
114,Isuzu,Hombre,1996,Turquoise,petrol,WAUKD98P16A798284
115,Chevrolet,Caprice Classic,1993,Pink,diesel,3C6TD5KT1CG862849
116,Buick,LeSabre,1987,Pink,diesel,3C4PDCBBXDT556490
117,Volkswagen,Eurovan,2000,Orange,diesel,1D7RB1GK8BS759930
118,Mercury,Villager,2000,Pink,petrol,4T1BF3EK2BU188062
119,MINI,Cooper,2008,Goldenrod,petrol,1GYFC66858R688970
120,Subaru,Tribeca,2012,Aquamarine,diesel,1D4PU7GX9AW078678
121,Buick,LaCrosse,2008,Aquamarine,diesel,JN8AE2KP3B9546418
122,Mitsubishi,Endeavor,2004,Pink,petrol,YV4902DZ0B2169709
123,Chevrolet,Camaro,1985,Purple,diesel,JN8AE2KP7B9961063
124,Ford,F150,2002,Teal,petrol,SCFAD02E29G417630
125,Plymouth,Reliant,1981,Aquamarine,diesel,1FTNF2A53AE686059
126,Subaru,SVX,1995,Teal,diesel,1FMHK7B82BG262789
127,Audi,Q7,2009,Green,petrol,WBADR63413G041500
128,Acura,MDX,2003,Pink,petrol,WAUFEAFM7BA212688
129,Toyota,Sienna,2012,Mauv,petrol,JHMZE2H58DS166148
130,Subaru,Legacy,2001,Goldenrod,petrol,WVGAV7AX7CW077584
131,Ford,Courier,1987,Indigo,petrol,WVGAV3AX5EW341462
132,Lincoln,Town Car,1990,Red,diesel,2HNYD182X3H675769
133,Lamborghini,Gallardo,2008,Indigo,diesel,WBAPK73539A144834
134,Mitsubishi,Mirage,1995,Green,petrol,YV4902NC4F1655929
135,Ford,E150,2011,Yellow,petrol,WBAKB83599C806775
136,Lincoln,Mark VIII,1996,Crimson,diesel,KM8JT3AB7DU709628
137,Acura,NSX,1997,Turquoise,petrol,JN8AZ1MU1CW736481
138,Mercedes-Benz,CLK-Class,2003,Khaki,diesel,WBAVA33527P889961
139,Oldsmobile,Aurora,1996,Yellow,diesel,WAUKH98E17A598204
140,Cadillac,Eldorado,1993,Purple,petrol,2C3CDYCJ6CH726311
141,Chevrolet,Tracker,2000,Yellow,diesel,JH4DC53855S534953
142,Pontiac,Grand Am,1994,Maroon,petrol,WA1BV94L67D162750
143,Buick,Skyhawk,1988,Purple,petrol,VNKKTUD36FA517745
144,Dodge,D250,1993,Green,petrol,WAURVAFDXCN143566
145,Toyota,4Runner,2003,Indigo,petrol,SCBCR7ZA8AC814424
146,Citroën,CX,1989,Turquoise,petrol,1G6DE8EY4B0208890
147,Cadillac,Escalade EXT,2008,Aquamarine,diesel,5TFAW5F1XFX411650
148,Suzuki,Reno,2005,Indigo,diesel,WBAAW33471E813145
149,Ford,Taurus,1999,Blue,petrol,WBAEP33474P790909
150,Pontiac,Firefly,1990,Red,diesel,2HKRM3H38FH584607
151,Ford,Fusion,2009,Goldenrod,diesel,1N6AD0CU4DN390016
152,Lexus,LX,2000,Indigo,diesel,WBA3B3C54EJ497035
153,Toyota,MR2,1987,Turquoise,petrol,WAULT58E05A976019
154,Ford,Transit Connect,2010,Violet,petrol,WA1BY74L39D910109
155,Mitsubishi,Pajero,1987,Puce,diesel,1C3BC7EGXBN296802
156,Ford,Aspire,1996,Blue,petrol,WAUDH98E47A985984
157,Maserati,Gran Sport,2005,Indigo,petrol,WBA3N5C5XFK164787
158,Volvo,V70,1999,Blue,diesel,1GYEC63848R972350
159,GMC,Savana 2500,2002,Aquamarine,petrol,SAJWA4DC0CM268158
160,Volkswagen,Rabbit,2010,Turquoise,petrol,KL4CJFSB4EB240881
161,Subaru,Justy,1988,Goldenrod,diesel,SALWR2TF4FA467042
162,Toyota,Avalon,2009,Indigo,petrol,5UXWX7C54CL331946
163,Mercedes-Benz,400E,1992,Goldenrod,petrol,WDCYC7DF7FX939626
164,Bentley,Azure,2007,Crimson,diesel,2D4RN5D12AR898622
165,Volvo,S40,2005,Turquoise,petrol,4A31K5DF8CE504858
166,Aston Martin,Vantage,2008,Yellow,diesel,JTEBU5JRXD5390245
167,Dodge,Ram Van 1500,2003,Teal,petrol,WAUUL58E05A182786
168,GMC,Suburban 1500,1993,Teal,petrol,19XFB4F23FE096713
169,Subaru,Outback,2005,Orange,petrol,SCBLC47J27C837712
170,Nissan,Stanza,1992,Green,diesel,JTJBJRBZ1F2811158
171,Chevrolet,Suburban 2500,1999,Purple,diesel,WVGFF9BP2BD267350
172,BMW,Z4,2009,Teal,diesel,19UUA75578A361048
173,Toyota,4Runner,2011,Orange,petrol,4USBU335X7L785393
174,Kia,Mohave/Borrego,2009,Green,diesel,1GYS4GKJ3FR695245
175,Ford,Fusion,2012,Green,petrol,1FTEW1C84AK953485
176,Mitsubishi,Mirage,2002,Indigo,diesel,5GADS13S072232323
177,GMC,Yukon XL 2500,2011,Goldenrod,petrol,WAU3FAFR1DA930624
178,Jeep,Grand Cherokee,2009,Crimson,diesel,1GKKRNED1BJ985319
179,Mercedes-Benz,SL-Class,1992,Violet,diesel,JH4KA96623C345313
180,Mercedes-Benz,C-Class,2005,Orange,petrol,1GKS1AEC6FR800146
181,Mercedes-Benz,W201,1986,Maroon,diesel,JN1AJ0HP7AM446372
182,Buick,Reatta,1989,Maroon,petrol,5N1AA0NC1AN338284
183,Buick,Skylark,1986,Mauv,diesel,1G6DD67V480778861
184,Jaguar,S-Type,2008,Violet,petrol,WBANB33555B314082
185,Nissan,Maxima,1992,Yellow,diesel,JN1CV6EK4FM414107
186,Dodge,Ram 1500 Club,1999,Pink,diesel,WA1DGBFE1DD025798
187,Pontiac,Bonneville,1989,Orange,diesel,1FMCU0F73DU916913
188,Lexus,RX,2003,Crimson,diesel,5XYKT3A17CG688764
189,Ford,Tempo,1994,Indigo,diesel,WBAVB13596K288043
190,Mercedes-Benz,SLS AMG,2011,Green,diesel,1D4PT7GX6AW554436
191,Audi,5000S,1988,Maroon,petrol,WAUBFBFL4AN417885
192,Ford,Club Wagon,1994,Violet,diesel,3C6TD5GT0CG194101
193,Hyundai,Sonata,2004,Purple,petrol,1G4GL5E33DF314584
194,Lamborghini,Reventón,2008,Blue,diesel,WAUWFAFH6BN214313
195,Ford,Courier,1988,Orange,petrol,WBANA73504B668262
196,Daewoo,Lanos,2000,Aquamarine,petrol,3C6TD5JT0CG927286
197,Lexus,GS,1993,Indigo,petrol,5NPDH4AE8BH146888
198,Toyota,Tercel,1995,Pink,diesel,WBAPH7C57AA187236
199,Mercury,Grand Marquis,1996,Mauv,petrol,SCFFDAAM4DG499230
200,Kia,Forte,2012,Puce,diesel,WA1CGAFPXFA773543
201,Suzuki,XL-7,2001,Yellow,petrol,WAULT68E45A716809
202,Audi,A8,2010,Puce,diesel,WAUKF68E65A622045
203,Saab,9-3,2004,Violet,petrol,3C6TD5NT3CG022731
204,Honda,Civic,1980,Aquamarine,petrol,WBAGJ03491D938760
205,Pontiac,Grand Prix,1983,Red,diesel,3C6TD4DT9CG500825
206,Toyota,4Runner,1994,Khaki,petrol,1GYUKJEF2AR829139
207,Jeep,Liberty,2011,Aquamarine,petrol,TRUUT28N231596253
208,Chevrolet,Camaro,1976,Turquoise,diesel,KNAGM4AD2C5888430
209,Maserati,Quattroporte,2012,Goldenrod,diesel,WBAVA33598P420917
210,Dodge,Sprinter,2009,Puce,diesel,2G4GL5EX4F9994574
211,Buick,Regal,1985,Khaki,petrol,WBABS53422J799336
212,Ford,Freestar,2006,Mauv,petrol,1G6KD57YX8U543191
213,Volkswagen,GTI,2000,Purple,petrol,1G6KF57985U036806
214,Mercury,Mountaineer,2002,Blue,diesel,1GD01XEG1FZ511003
215,Infiniti,M,2010,Turquoise,diesel,WBAYA8C51ED020535
216,Rolls-Royce,Phantom,2013,Maroon,petrol,WBXPA93495W213941
217,Toyota,Avalon,2006,Fuscia,diesel,JN1BV7AP4FM384948
218,Lexus,GX,2003,Purple,diesel,1N6AD0CU6AC534382
219,Mercedes-Benz,SLK-Class,2005,Goldenrod,petrol,1G4PS5SK1C4939168
220,Saab,9-3,2010,Aquamarine,diesel,3D7LP2ET4AG251758
221,Isuzu,Hombre,2000,Purple,petrol,5N1AR2MM8DC589365
222,Chrysler,Grand Voyager,2000,Blue,petrol,4T1BF1FK6DU296478
223,Mitsubishi,Galant,1997,Red,petrol,WBANV13528C634602
224,Fillmore,Fillmore,1960,Indigo,diesel,2FMHK6DCXAB081487
225,Ford,Explorer,1993,Fuscia,petrol,SALFR2BN8BH520352
226,Volkswagen,GTI,1990,Blue,petrol,WBAKB0C53CC116125
227,Dodge,Ram 1500,1999,Puce,diesel,1N6AA0EJ2FN210062
228,Ford,E-Series,1987,Red,petrol,5UXZV8C5XBL879764
229,Hyundai,Scoupe,1992,Orange,petrol,JN8AZ2KR4ET109363
230,Chrysler,300,2005,Khaki,diesel,1D7RE5GK5BS847526
231,Porsche,Cayman,2010,Khaki,petrol,WBAPK7C52AA394506
232,Nissan,Pathfinder,1996,Orange,petrol,JTHFE2C21D2168307
233,Ford,F150,1999,Crimson,petrol,19UUA66265A104599
234,Chrysler,Concorde,1996,Fuscia,petrol,5UXFH0C54BL893123
235,Porsche,944,1987,Yellow,diesel,WAUVC68E13A685606
236,Lotus,Esprit,1988,Goldenrod,diesel,1N6AA0CJ0DN971916
237,Buick,Skyhawk,1987,Indigo,diesel,WAUEFAFL2CA809457
238,Pontiac,6000,1984,Red,diesel,2G4GT5GV5D9726626
239,Honda,S2000,2003,Indigo,diesel,WBAYF8C54ED966968
240,Nissan,GT-R,2013,Crimson,petrol,4USDU53528L280423
241,BMW,760,2005,Pink,diesel,1G6YV34A455477763
242,Dodge,Ram Van B150,1992,Goldenrod,diesel,WAUAFAFH1BN265860
243,BMW,X5,2004,Red,petrol,1FTEX1CM7BF501745
244,Nissan,Armada,2008,Khaki,petrol,WBASP2C59DC614215
245,Mitsubishi,Tundra,2009,Mauv,diesel,3D73M4HL5BG523851
246,Cadillac,Seville,1998,Khaki,diesel,WAUDH78EX7A495859
247,Lincoln,Navigator,2011,Blue,diesel,1C4NJPBA8FD582397
248,Lexus,CT,2011,Violet,diesel,1D7RB1GP1AS816172
249,Mazda,Miata MX-5,2003,Purple,petrol,KNAGM4AD1D5506938
250,Mitsubishi,Pajero,1999,Mauv,petrol,1G6DL67A490579231
251,Saturn,Relay,2007,Yellow,petrol,WAUDFAFC8CN699969
252,Infiniti,G,1993,Turquoise,diesel,WBAKX6C52CC210906
253,Pontiac,Grand Prix,1995,Crimson,diesel,WBALW7C51CC113127
254,Volvo,S40,2003,Violet,petrol,WBXPA73474W771421
255,Bentley,Continental,2009,Turquoise,diesel,3LNDL2L30BR301053
256,BMW,530,2004,Orange,diesel,WAULT58E33A796336
257,Toyota,Land Cruiser,1994,Aquamarine,diesel,WAUFGBFC7DN770883
258,Toyota,Camry,2008,Violet,petrol,3C4PDCGB5ET798887
259,Ford,Five Hundred,2007,Yellow,diesel,WAULD54B72N714141
260,Mitsubishi,Endeavor,2009,Purple,diesel,1FMJU1H50AE320382
261,Chevrolet,Avalanche,2008,Blue,diesel,1G6AA5RA2E0479767
262,Mazda,MX-5,1997,Fuscia,petrol,JA32X8HW7AU659794
263,Mazda,Mazda6 Sport,2006,Blue,petrol,WBAKF9C58BE310936
264,Saturn,Ion,2005,Green,diesel,1N6AF0KY1FN183309
265,Buick,Century,1985,Purple,diesel,SAJWA4GC0EM778251
266,Hyundai,Genesis,2011,Violet,diesel,WP1AA2A22DL223363
267,Mazda,B-Series Plus,1999,Mauv,petrol,19UYA42793A478399
268,Jeep,Wrangler,1994,Puce,diesel,1G4HC5EMXAU211960
269,Ford,Torino,1970,Turquoise,petrol,1YVHZ8BAXA5158096
270,Toyota,Yaris,2006,Green,petrol,3VW4A7AT7DM735929
271,Cadillac,CTS-V,2012,Indigo,diesel,WAULC68E25A449833
272,Honda,Prelude,2000,Red,diesel,WAULD64B04N627352
273,Mitsubishi,RVR,1994,Violet,diesel,5GAKVAED3BJ962688
274,Dodge,Durango,2008,Khaki,petrol,1N6AA0EC7DN621374
275,Toyota,MR2,2000,Orange,petrol,1D7CW5GK9AS159871
276,Mazda,B-Series,1987,Mauv,petrol,1G4GC5G3XFF429358
277,Nissan,Quest,2009,Red,petrol,WVGFG9BP3BD126638
278,Mercury,Tracer,1988,Goldenrod,petrol,1FTEW1E82AF728004
279,Bentley,Azure,2006,Purple,diesel,1FTWX3B57AE986452
280,Kia,Forte,2012,Green,petrol,2LMDJ6JK8FB031327
281,Dodge,D150,1993,Maroon,petrol,3C4PDCBB4FT666311
282,Panoz,Esperante,2006,Pink,petrol,JH4CL95995C379634
283,Lexus,LS,2002,Indigo,petrol,JTHBE5C20A2855872
284,Honda,CR-V,2006,Mauv,diesel,1N6AF0LYXFN736666
285,Toyota,Tacoma,2006,Crimson,petrol,SCBGT3ZA4DC156424
286,Buick,Park Avenue,1991,Crimson,diesel,TRUWC28N711695303
287,Porsche,Cayman,2010,Puce,diesel,WBALM5C53BE366608
288,Chevrolet,Corvette,1959,Maroon,petrol,WBAWB73577P136600
289,Volvo,C70,2002,Purple,petrol,4T1BK1EB2EU159469
290,GMC,Rally Wagon 1500,1992,Mauv,diesel,SALVP2BG9FH085463
291,Chevrolet,Avalanche,2007,Aquamarine,diesel,1FTEX1CM5BF387762
292,Mazda,B2600,1987,Aquamarine,petrol,1G6YV36AX75505503
293,Subaru,Impreza,1997,Orange,petrol,WBAUT9C56BA733054
294,Ford,Th!nk,2002,Indigo,petrol,WP0CB2A8XFS961936
295,Hyundai,Sonata,2011,Orange,diesel,WBA3B9C59DJ611273
296,Mitsubishi,Galant,1992,Yellow,diesel,1C3CC4FB8AN314492
297,Spyker,C8,2007,Maroon,diesel,SCBLC47J08C556364
298,Porsche,944,1985,Pink,diesel,3N1CN7AP0EL232940
299,Chevrolet,TrailBlazer,2009,Orange,petrol,3GYFNKE66BS956271
300,Acura,MDX,2003,Yellow,diesel,1G6AB5RX8D0044851
301,Volkswagen,Passat,2000,Yellow,petrol,1GYS3BEF3ER231139
302,Ford,Escort,1999,Maroon,petrol,5FPYK1F55EB458784
303,Pontiac,G5,2009,Fuscia,diesel,TRUWT28NX11180036
304,Mazda,Miata MX-5,2002,Violet,diesel,YV4612HK6F1599222
305,Audi,100,1992,Teal,diesel,1FTEW1CM5DF474910
306,Cadillac,CTS-V,2012,Red,petrol,WAUHFBFL9CN418396
307,Mitsubishi,Montero Sport,1997,Crimson,petrol,2C3CCAGG1DH776513
308,Suzuki,Forenza,2004,Mauv,petrol,JN8AZ2KR7ET606200
309,Subaru,Outback,2007,Violet,petrol,WAUFFBFL8DN387702
310,Nissan,Quest,1999,Turquoise,petrol,1VWAS7A37FC639111
311,Cadillac,XLR,2009,Orange,petrol,WAUKH78E28A600855
312,BMW,Z4,2011,Maroon,petrol,WP0AB2A85FK511778
313,Chevrolet,Monte Carlo,2007,Maroon,petrol,JM1NC2MF3E0801889
314,Volkswagen,Cabriolet,1995,Aquamarine,petrol,WBAVB33566K343107
315,Ford,Explorer,1999,Pink,diesel,1GYS4AKJ6FR095512
316,Audi,S6,2007,Maroon,petrol,2LMDJ6JK6CB600879
317,Ford,E-Series,1996,Purple,petrol,WVGAV7AX3CW935682
318,Plymouth,Roadrunner,1969,Violet,petrol,1G6KP5E93AU466818
319,Suzuki,SJ,1985,Violet,petrol,19UYA42793A249480
320,Ford,Aerostar,1997,Puce,petrol,WDDGF5EB9BR214333
321,Acura,Integra,1997,Indigo,petrol,1G6AU5S8XF0046892
322,Mercedes-Benz,C-Class,2008,Orange,diesel,5YMGZ0C51CL996754
323,Buick,Park Avenue,2003,Mauv,diesel,WAUDFAFL6AA780571
324,Toyota,Xtra,1993,Purple,diesel,WAUVC68E75A781176
325,GMC,Canyon,2012,Khaki,petrol,JN8BS1MWXDM497763
326,Pontiac,Gemini,1986,Crimson,petrol,2GKALMEK1F6936582
327,Chevrolet,Equinox,2010,Violet,petrol,JM1GJ1T60F1322898
328,Kia,Spectra,2007,Violet,petrol,WBA5M2C53ED575249
329,Kia,Soul,2011,Mauv,diesel,1C4RDHAG6EC810325
330,MINI,Cooper,2012,Blue,petrol,1D7CW3GKXAS344855
331,Toyota,Sequoia,2010,Mauv,petrol,TRURD38J081786677
332,Chrysler,New Yorker,1992,Violet,petrol,3D7TP2CT0AG275770
333,Buick,Rainier,2006,Blue,petrol,WAUEL74F16N082009
334,Lexus,RX,1999,Green,petrol,2T1KE4EE9CC148941
335,Jeep,Compass,2008,Orange,petrol,2T1BU4EE5DC674312
336,Mazda,Millenia,1998,Crimson,petrol,1FMJK1H56DE915392
337,Isuzu,Ascender,2008,Mauv,petrol,3GYT4LEF0CG874665
338,Mercury,Cougar,1996,Indigo,petrol,5BZAF0AA3FN971628
339,Dodge,Ram 1500,2004,Green,diesel,3VW4S7AT3EM368820
340,Mercedes-Benz,SLK-Class,2010,Maroon,petrol,2G4WS52J521281920
341,Chevrolet,Lumina,1999,Fuscia,diesel,1G6KD57Y66U290822
342,Suzuki,Daewoo Magnus,2004,Pink,diesel,WAUWFAFH4EN278094
343,Chevrolet,TrailBlazer,2008,Aquamarine,petrol,1G6DH577480077415
344,Chevrolet,Monte Carlo,1997,Maroon,petrol,WA1BV74LX8D074855
345,Dodge,Intrepid,1999,Maroon,diesel,4T3BA3BB7FU326260
346,Saturn,Outlook,2007,Puce,petrol,WA1CYBFE6AD214029
347,Mitsubishi,Pajero,1990,Fuscia,petrol,1GYS4AEF7DR908201
348,Buick,Electra,1985,Blue,petrol,WBAAW33471E770331
349,Saab,9000,1990,Fuscia,petrol,3N1AB7AP4FY157048
350,Dodge,Ram Van 3500,1999,Goldenrod,diesel,1G6AK5S32D0321758
351,Lincoln,Continental Mark VII,1987,Mauv,diesel,3C6TD5MT6CG764154
352,Pontiac,Grand Prix,1969,Yellow,diesel,WBA3B3C51DF014604
353,Infiniti,Q,2005,Pink,diesel,WAULFAFH9AN788101
354,Subaru,Impreza,2000,Green,petrol,1GD12ZCG3BF695694
355,Mercedes-Benz,SL-Class,2012,Khaki,diesel,WAUML44E85N131397
356,Oldsmobile,Cutlass Cruiser,1994,Indigo,diesel,WBA3R5C53EK784934
357,Mercedes-Benz,SL-Class,1993,Pink,petrol,1G6AB5R36E0285581
358,Honda,CR-V,2008,Red,diesel,WAUHF68P16A936764
359,Ford,F-Series,1996,Orange,petrol,5UXFE43517L516806
360,Mercedes-Benz,C-Class,2005,Teal,petrol,5N1AA0NC2BN073988
361,Jaguar,XF,2009,Maroon,petrol,SCFEDCAD2CG926541
362,Chrysler,Pacifica,2004,Fuscia,petrol,2G4WS52J211147915
363,Toyota,Camry,2000,Orange,petrol,JM3KE2BE0F0627294
364,Mazda,Protege,1992,Turquoise,petrol,WUARL48H44K744424
365,Buick,Century,1994,Crimson,petrol,WAULV94E48N156904
366,Jaguar,XK,2006,Indigo,diesel,2HNYD18736H856731
367,Mercury,Villager,1997,Violet,diesel,KMHEC4A44DA284038
368,Pontiac,G6,2007,Khaki,diesel,1D7RV1CP9BS318574
369,Volkswagen,Jetta,2005,Green,diesel,WP0AB2A81CU393163
370,Mercury,Sable,1995,Goldenrod,petrol,WBANE73526C260315
371,Austin,Mini Cooper,1964,Goldenrod,diesel,1G6KS54Y61U354196
372,Toyota,Highlander,2005,Purple,diesel,JH4CL95948C257879
373,Mazda,Mazda6,2005,Yellow,petrol,3TMJU4GN1CM230598
